experiment_id,transcript_id,model_name,technique_name,total_ground_truth,total_extracted,exact_matches
1,1,Llama 3.2 3B Instruct,zero-shot,6,15,6
2,2,Llama 3.2 3B Instruct,zero-shot,1,2,1
3,3,Llama 3.2 3B Instruct,zero-shot,3,6,1
4,4,Llama 3.2 3B Instruct,zero-shot,4,7,4
5,5,Llama 3.2 3B Instruct,zero-shot,4,7,4
6,6,Llama 3.2 3B Instruct,zero-shot,3,4,2
7,7,Llama 3.2 3B Instruct,zero-shot,3,8,3
8,8,Llama 3.2 3B Instruct,zero-shot,3,8,1
9,9,Llama 3.2 3B Instruct,zero-shot,3,8,3
10,10,Llama 3.2 3B Instruct,zero-shot,3,4,3
11,11,Llama 3.2 3B Instruct,zero-shot,4,6,4
12,12,Llama 3.2 3B Instruct,zero-shot,4,6,0
13,13,Llama 3.2 3B Instruct,zero-shot,5,8,4
14,14,Llama 3.2 3B Instruct,zero-shot,3,8,0
15,15,Llama 3.2 3B Instruct,zero-shot,2,5,1
16,16,Llama 3.2 3B Instruct,zero-shot,3,11,2
17,17,Llama 3.2 3B Instruct,zero-shot,3,5,1
18,18,Llama 3.2 3B Instruct,zero-shot,3,5,2
19,19,Llama 3.2 3B Instruct,zero-shot,3,5,1
20,20,Llama 3.2 3B Instruct,zero-shot,2,5,0
21,21,Llama 3.2 3B Instruct,zero-shot,4,5,1
22,22,Llama 3.2 3B Instruct,zero-shot,17,0,0
23,23,Llama 3.2 3B Instruct,zero-shot,7,6,0
24,24,Llama 3.2 3B Instruct,zero-shot,7,6,4
25,25,Llama 3.2 3B Instruct,zero-shot,4,0,0
26,26,Llama 3.2 3B Instruct,zero-shot,3,3,3
27,27,Llama 3.2 3B Instruct,zero-shot,7,7,5
28,28,Llama 3.2 3B Instruct,zero-shot,11,7,8
29,29,Llama 3.2 3B Instruct,zero-shot,9,9,1
30,30,Llama 3.2 3B Instruct,zero-shot,12,12,7
31,31,Llama 3.2 3B Instruct,zero-shot,5,6,0
32,32,Llama 3.2 3B Instruct,zero-shot,8,7,6
33,33,Llama 3.2 3B Instruct,zero-shot,8,9,8
34,34,Llama 3.2 3B Instruct,zero-shot,7,7,4
35,35,Llama 3.2 3B Instruct,zero-shot,11,10,10
36,36,Llama 3.2 3B Instruct,zero-shot,6,5,5
37,37,Llama 3.2 3B Instruct,zero-shot,8,8,7
38,38,Llama 3.2 3B Instruct,zero-shot,4,4,4
39,39,Llama 3.2 3B Instruct,zero-shot,6,8,2
